Income,COL,PD,URate,Pop,Taxes,RTWL
2961,169,414,13.6,1790128,5128,1
1711,143,239,11,396891,4303,1
2122,339,43,23.7,349874,4166,0
4654,173,951,21,2147850,5001,0
1620,99,255,16,411725,3965,1
5634,363,1257,24.4,3914071,4928,0
7213,253,834,39.2,1326848,4471,0
5535,117,162,31.5,162304,4813,0
7224,294,229,18.2,164145,4839,1
6113,291,1886,31.5,7015251,5408,0
4806,170,643,29.5,1381196,4637,0
6432,239,1295,29.5,1966725,5138,0
2363,174,302,11,2527224,4923,1
5606,183,489,29.5,835708,4787,0
5982,227,304,15.2,1413318,5386,0
6275,255,1130,34.6,4424382,5246,0
8214,249,323,27.8,169467,4289,0
6235,326,696,21.9,1062565,5134,0
1278,194,337,11,2286247,5084,1
5699,251,371,29.3,1138753,4837,0
4868,201,386,30,1290110,5052,0
5205,124,362,34.2,342797,4377,0
1349,340,1717,23.7,6986898,5281,0
7635,328,968,27.8,1409363,5176,0
8392,265,433,24.4,2010841,5206,0
3578,120,183,17.7,748493,4454,1
4862,323,6908,39.2,9561089,5260,0
782,117,230,11.7,582664,4613,1
5144,182,1353,34.2,4807001,4877,0
5987,169,762,34.2,2322224,4677,0
7511,267,201,23.1,228417,4123,0
4809,184,480,30,2366542,4721,0
1458,256,372,23.7,1584583,4837,0
3015,381,1266,23.7,3140306,5940,0
4424,195,333,33.1,1406746,5416,0
4224,205,1073,21,3021801,6404,0
4620,206,157,12.8,384920,4796,1
3393,126,302,6.5,468512,4614,1
